signInButton    class  "sign-in"
userNameEntry   id  "username"
passwordEntry   id  "password"
signInWithCredentials   xpath  ".//button[@type='submit']"
createSurvey xpath   ".//*[@id='hd']/div/a[1]"
createNewSurvey xpath   "//button[@id='scratch']"
createSurveyTitle   id  "surveyTitle"
createSurveyAfterTitleEntered   xpath   "//div[@class='ReactModalPortal']//button"
addNextQuestionButton   xpath   ".//a[@data-action='MultipleChoice']"
checkContainer   xpath   "//div[@class='questions-container']"
changeQuesTypeDropdownButton    xpath   ".//a[@id='changeQType']/span[@class='qType']"
selectSingleTextQueUsingDropdown    xpath   ".//a[@data-action='SingleTextboxQuestion']"
enterQuesTitle  xpath   ".//*[@id='editTitle']"
multipleChoiceQueRow1   xpath   ".//table[@id='rows']/tbody/tr[3]/td[2]/div/div[1]"
multipleChoiceQueRow2   xpath   ".//table[@id='rows']/tbody/tr[4]/td[2]/div/div[1]"
multipleChoiceQueRow3   xpath   ".//table[@id='rows']/tbody/tr[5]/td[2]/div/div[1]"
selectDropdownQueTypeUsingDropdown  xpath   ".//a[@data-action='DropdownQuestion']"
dropDownQueTypeRow1 xpath   ".//table[@id='rows']/tbody/tr[3]/td[2]/div/div[1]"
dropDownQueTypeRow2 xpath   ".//table[@id='rows']/tbody/tr[4]/td[2]/div/div[1]"
saveQuestion    xpath  ".//div[@class='buttons']/a[@class='btn teal save']"
navigateUpTripleLineButton  xpath   "//a[@id='sendSurvey']"
wheelButtonForSignOut   xpath   ".//a[@id='userAcctTab_MainMenu']"
signOutButton   xpath   ".//a[@href='/user/sign-out/']"
Notifier_Saving id  "notifier-saving"
Notifier_Custom id  "notifier-custom"
Notifier_Loading    id  "notifier-loading"
Notifier_Error  id  "notifier-error"
Notifier_Timeout    id  "timeout-notification"
Notifier_Newversion id  "newversion-notification"
